"id","name","description","compliance_control_ids/name","compliance_control_ids/description","compliance_control_ids/id","compliance_version_id/id"
"__export__.compliance_control_objective_291_2060b503","SA-22 UNSUPPORTED SYSTEM COMPONENTS","","a. Replace system components when support for the components is no longer available from  the developer, vendor, or manufacturer; or","","__export__.compliance_control_904_8bb55f6a","__export__.compliance_version_1_9fc7045a"
"","","","b. Provide the following options for alternative sources for continued support for unsupported  components [Selection (one or more): in-house support; [Assignment: organization-defined  support from external providers]].","","__export__.compliance_control_905_288e1bcf",""
"__export__.compliance_control_objective_292_0c2c790c","SA-23 SPECIALIZATION","","Employ [Selection (one or more): design; modification; augmentation; reconfiguration]  on [Assignment: organization-defined systems or system components] supporting mission  essential services or functions to increase the trustworthiness in those systems or components.","","__export__.compliance_control_906_015668ef","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_293_c90d8dfe","SC-1 POLICY AND PROCEDURES","","(SC-1) a. Develop, document, and disseminate to [Assignment: organization-defined personnel or  roles]:","1. [Selection (one or more): Organization-level; Mission/business process-level; Systemlevel] system and communications protection policy that:
(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2. Procedures to facilitate the implementation of the system and communications protection policy and the associated system and communications protection controls;","__export__.compliance_control_1411_7d79f5c7","__export__.compliance_version_1_9fc7045a"
"","","","(SC-1) b. Designate an [Assignment: organization-defined official] to manage the development,  documentation, and dissemination of the system and communications protection policy and  procedures; and","","__export__.compliance_control_1412_9f7b12df",""
"","","","(SC-1) c. Review and update the current system and communications protection:","1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].","__export__.compliance_control_1413_d6f9441b",""
"__export__.compliance_control_objective_294_5a44f28d","SC-2 SEPARATION OF SYSTEM AND USER FUNCTIONALITY","","Separate user functionality, including user interface services, from system management  functionality.","","__export__.compliance_control_1454_ea3b21c1","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_295_a205e0e3","SC-3 SECURITY FUNCTION ISOLATION","","Isolate security functions from nonsecurity functions.","","__export__.compliance_control_1455_e592eeaf","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_296_38e4a48e","SC-4 INFORMATION IN SHARED SYSTEM RESOURCES","","Prevent unauthorized and unintended information transfer via shared system  resources.","","__export__.compliance_control_1456_fde254f7","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_297_722fd743","SC-5 DENIAL-OF-SERVICE PROTECTION","","a. [Selection: Protect against; Limit] the effects of the following types of denial-of-service  events: [Assignment: organization-defined types of denial-of-service events]; and","","__export__.compliance_control_1457_c412b2b6","__export__.compliance_version_1_9fc7045a"
"","","","b. Employ the following controls to achieve the denial-of-service objective: [Assignment:  organization-defined controls by type of denial-of-service event]","","__export__.compliance_control_1458_8fa050d9",""
"__export__.compliance_control_objective_298_8c93e31f","SC-6 RESOURCE AVAILABILITY","","Protect the availability of resources by allocating [Assignment: organization-defined  resources] by [Selection (one or more): priority; quota; [Assignment: organization-defined  controls]].","","__export__.compliance_control_1459_39fcecf4","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_299_f9e5c6b4","SC-7 BOUNDARY PROTECTION","","a. Monitor and control communications at the external managed interfaces to the system and  at key internal managed interfaces within the system;","","__export__.compliance_control_1460_29f16bb1","__export__.compliance_version_1_9fc7045a"
"","","","b. Implement subnetworks for publicly accessible system components that are [Selection:  physically; logically] separated from internal organizational networks; and","","__export__.compliance_control_1461_28dc15d0",""
"","","","c. Connect to external networks or systems only through managed interfaces consisting of  boundary protection devices arranged in accordance with an organizational security and  privacy architecture.","","__export__.compliance_control_1462_da72a641",""
"__export__.compliance_control_objective_300_1446c7ae","SC-8 TRANSMISSION CONFIDENTIALITY AND INTEGRITY","","Protect the [Selection (one or more): confidentiality; integrity] of transmitted  information.","","__export__.compliance_control_1463_288de6e0","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_301_c82b0dcd","SC-9 TRANSMISSION CONFIDENTIALITY","","(SC-9) [Withdrawn: Incorporated into SC-8.]","","__export__.compliance_control_1453_ec34e061","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_302_192a9837","SC-10 NETWORK DISCONNECT","","Terminate the network connection associated with a communications session at the  end of the session or after [Assignment: organization-defined time period] of inactivity.","","__export__.compliance_control_1414_b298277f","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_303_c302052b","SC-11 TRUSTED PATH","","a. Provide a [Selection: physically; logically] isolated trusted communications path for  communications between the user and the trusted components of the system; and","","__export__.compliance_control_1415_ef14ae4f","__export__.compliance_version_1_9fc7045a"
"","","","b. Permit users to invoke the trusted communications path for communications between the  user and the following security functions of the system, including at a minimum,  authentication and re-authentication: [Assignment: organization-defined security functions].","","__export__.compliance_control_1416_6c0c38b2",""
"__export__.compliance_control_objective_304_b82e927d","SC-12 CRYPTOGRAPHIC KEY ESTABLISHMENT AND MANAGEMENT","","Establish and manage cryptographic keys when cryptography is employed within the  system in accordance with the following key management requirements: [Assignment:  organization-defined requirements for key generation, distribution, storage, access, and  destruction].","","__export__.compliance_control_1417_ff87aa49","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_305_55e9fcc3","SC-13 CRYPTOGRAPHIC PROTECTION","","a. Determine the [Assignment: organization-defined cryptographic uses]; and","","__export__.compliance_control_1418_57473faf","__export__.compliance_version_1_9fc7045a"
"","","","b. Implement the following types of cryptography required for each specified cryptographic  use: [Assignment: organization-defined types of cryptography for each specified  cryptographic use].","","__export__.compliance_control_1419_07892667",""
"__export__.compliance_control_objective_306_08741ac8","SC-14 PUBLIC ACCESS PROTECTIONS","","[Withdrawn: Incorporated into AC-2, AC-3, AC-5, AC-6, SI-3, SI-4, SI-5, SI-7, and SI-10.]","","__export__.compliance_control_1420_d4e699d5","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_307_1b62666a","SC-15 COLLABORATIVE COMPUTING DEVICES AND APPLICATIONS","","a. Prohibit remote activation of collaborative computing devices and applications with the  following exceptions: [Assignment: organization-defined exceptions where remote activation  is to be allowed]; and","","__export__.compliance_control_1421_bd98cfba","__export__.compliance_version_1_9fc7045a"
"","","","b. Provide an explicit indication of use to users physically present at the devices.","","__export__.compliance_control_1422_ea3c7fd0",""
"__export__.compliance_control_objective_308_b4d12bb8","SC-16 TRANSMISSION OF SECURITY AND PRIVACY ATTRIBUTES","","Associate [Assignment: organization-defined security and privacy attributes] with  information exchanged between systems and between system components.","","__export__.compliance_control_1423_5da79552","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_309_9416d623","SC-17 PUBLIC KEY INFRASTRUCTURE CERTIFICATES","","a. Issue public key certificates under an [Assignment: organization-defined certificate policy] or  obtain public key certificates from an approved service provider; and","","__export__.compliance_control_1424_81536020","__export__.compliance_version_1_9fc7045a"
"","","","b. Include only approved trust anchors in trust stores or certificate stores managed by the  organization.","","__export__.compliance_control_1425_d8ac095b",""
"__export__.compliance_control_objective_310_65c66459","SC-18 MOBILE CODE","","a. Define acceptable and unacceptable mobile code and mobile code technologies; and","","__export__.compliance_control_1426_fbae8b98","__export__.compliance_version_1_9fc7045a"
"","","","b. Authorize, monitor, and control the use of mobile code within the system.","","__export__.compliance_control_1427_5d24fe99",""
"__export__.compliance_control_objective_311_180dc57b","SC-19 VOICE OVER INTERNET PROTOCOL","","[Withdrawn: Technology-specific; addressed as any other technology or protocol.]","","__export__.compliance_control_1428_d06212a0","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_312_5b105921","SC-20 SECURE NAME/ADDRESS RESOLUTION SERVICE (AUTHORITATIVE SOURCE)","","a. Provide additional data origin authentication and integrity verification artifacts along with  the authoritative name resolution data the system returns in response to external  name/address resolution queries; and","","__export__.compliance_control_1429_036d596d","__export__.compliance_version_1_9fc7045a"
"","","","b. Provide the means to indicate the security status of child zones and (if the child supports  secure resolution services) to enable verification of a chain of trust among parent and child  domains, when operating as part of a distributed, hierarchical namespace.","","__export__.compliance_control_1430_bfc16dde",""
"__export__.compliance_control_objective_313_b6b84bdd","SC-21 SECURE NAME/ADDRESS RESOLUTION SERVICE (RECURSIVE OR CACHING RESOLVER)","","Request and perform data origin authentication and data integrity verification on the  name/address resolution responses the system receives from authoritative sources.","","__export__.compliance_control_1431_52e552fe","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_314_84409fff","SC-22 ARCHITECTURE AND PROVISIONING FOR NAME/ADDRESS RESOLUTION SERVICE","","Ensure the systems that collectively provide name/address resolution service for an  organization are fault-tolerant and implement internal and external role separation.","","__export__.compliance_control_1432_43aaa07d","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_315_4aaa67c3","SC-23 SESSION AUTHENTICITY","","Protect the authenticity of communications sessions.","","__export__.compliance_control_1433_c945acb0","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_316_8198ee52","SC-24 FAIL IN KNOWN STATE","","Fail to a [Assignment: organization-defined known system state] for the following  failures on the indicated components while preserving [Assignment: organization-defined system  state information] in failure: [Assignment: list of organization-defined types of system failures on  organization-defined system components].","","__export__.compliance_control_1434_9942c907","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_317_b0762414","SC-25 THIN NODES","","Employ minimal functionality and information storage on the following system  components: [Assignment: organization-defined system components].","","__export__.compliance_control_1435_971e9afb","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_318_25ca7210","SC-26 DECOYS","","Include components within organizational systems specifically designed to be the target  of malicious attacks for detecting, deflecting, and analyzing such attacks.","","__export__.compliance_control_1436_fa18c26c","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_319_0a5c932d","SC-27 PLATFORM-INDEPENDENT APPLICATIONS","","Include within organizational systems the following platform independent applications:  [Assignment: organization-defined platform-independent applications].","","__export__.compliance_control_1437_834604d0","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_320_db608a7e","SC-28 PROTECTION OF INFORMATION AT REST","","Protect the [Selection (one or more): confidentiality; integrity] of the following  information at rest: [Assignment: organization-defined information at rest].","","__export__.compliance_control_1438_edea93fe","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_321_8b735de9","SC-29 HETEROGENEITY","","Employ a diverse set of information technologies for the following system components  in the implementation of the system: [Assignment: organization-defined system components].","","__export__.compliance_control_1439_61ac88da","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_322_819372b0","SC-30 CONCEALMENT AND MISDIRECTION","","Employ the following concealment and misdirection techniques for [Assignment:  organization-defined systems] at [Assignment: organization-defined time periods] to confuse and  mislead adversaries: [Assignment: organization-defined concealment and misdirection  techniques].","","__export__.compliance_control_1440_0b468408","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_323_c3a6725a","SC-31 COVERT CHANNEL ANALYSIS","","a. Perform a covert channel analysis to identify those aspects of communications within the  system that are potential avenues for covert [Selection (one or more): storage; timing]  channels; and","","__export__.compliance_control_1441_97378638","__export__.compliance_version_1_9fc7045a"
"","","","b. Estimate the maximum bandwidth of those channels.","","__export__.compliance_control_1442_f379bc34",""
"__export__.compliance_control_objective_324_bd509caa","SC-32 SYSTEM PARTITIONING","","Partition the system into [Assignment: organization-defined system components]  residing in separate [Selection: physical; logical] domains or environments based on [Assignment:  organization-defined circumstances for physical or logical separation of components].","","__export__.compliance_control_1443_24f945fa","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_325_b5900abb","SC-33 TRANSMISSION PREPARATION INTEGRITY","","[Withdrawn: Incorporated into SC-8.]","","__export__.compliance_control_1444_a1d64e78","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_326_e314ffb5","SC-34 NON-MODIFIABLE EXECUTABLE PROGRAMS","","a. The operating environment from hardware-enforced, read-only media; and","","__export__.compliance_control_1445_55a96bab","__export__.compliance_version_1_9fc7045a"
"","","","b. The following applications from hardware-enforced, read-only media: [Assignment:  organization-defined applications].","","__export__.compliance_control_1446_04c42105",""
"__export__.compliance_control_objective_327_4266b7b3","SC-35 EXTERNAL MALICIOUS CODE IDENTIFICATION","","Include system components that proactively seek to identify network-based malicious  code or malicious websites.","","__export__.compliance_control_1447_643e1da4","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_328_98a9106f","SC-36 DISTRIBUTED PROCESSING AND STORAGE","","Distribute the following processing and storage components across multiple [Selection:  physical locations; logical domains]: [Assignment: organization-defined processing and storage  components].","","__export__.compliance_control_1448_fb811741","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_329_110c38ac","SC-37 OUT-OF-BAND CHANNELS","","Employ the following out-of-band channels for the physical delivery or electronic  transmission of [Assignment: organization-defined information, system components, or devices]  to [Assignment: organization-defined individuals or systems]: [Assignment: organization-defined  out-of-band channels].","","__export__.compliance_control_1449_4f7f70ab","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_330_58c8b1ff","SC-38 OPERATIONS SECURITY","","Employ the following operations security controls to protect key organizational  information throughout the system development life cycle: [Assignment: organization-defined  operations security controls].","","__export__.compliance_control_1450_f74627b6","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_331_e012f43e","SC-39 PROCESS ISOLATION","","Maintain a separate execution domain for each executing system process.","","__export__.compliance_control_1451_0f411880","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_332_2a56cb1f","SC-40 WIRELESS LINK PROTECTION","","Protect external and internal [Assignment: organization-defined wireless links] from the  following signal parameter attacks: [Assignment: organization-defined types of signal parameter  attacks or references to sources for such attacks].","","__export__.compliance_control_1452_7d041f5c","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_333_850762f6","SC-41 PORT AND I/O DEVICE ACCESS","","[Selection: Physically; Logically] disable or remove [Assignment: organization-defined  connection ports or input/output devices] on the following systems or system components: [Assignment: organization-defined systems or system components].","","__export__.compliance_control_1464_1597d3be","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_334_28a19f6e","SC-42 SENSOR CAPABILITY AND DATA","","a. Prohibit [Selection (one or more): the use of devices possessing [Assignment: organizationdefined environmental sensing capabilities] in [Assignment: organization-defined facilities,  areas, or systems]; the remote activation of environmental sensing capabilities on  organizational systems or system components with the following exceptions: [Assignment:  organization-defined exceptions where remote activation of sensors is allowed]]; and","","__export__.compliance_control_1465_f02ad5f3","__export__.compliance_version_1_9fc7045a"
"","","","b. Provide an explicit indication of sensor use to [Assignment: organization-defined group of  users].","","__export__.compliance_control_1466_c4106c75",""
"__export__.compliance_control_objective_335_180b2c99","SC-43 USAGE RESTRICTIONS","","a. Establish usage restrictions and implementation guidelines for the following system  components: [Assignment: organization-defined system components]; and","","__export__.compliance_control_1467_23eefafe","__export__.compliance_version_1_9fc7045a"
"","","","b. Authorize, monitor, and control the use of such components within the system.","","__export__.compliance_control_1468_4148d7c4",""
"__export__.compliance_control_objective_336_974763d3","SC-44 DETONATION CHAMBERS","","Employ a detonation chamber capability within [Assignment: organization-defined  system, system component, or location].","","__export__.compliance_control_1469_31a8d042","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_337_2eeab037","SC-45 SYSTEM TIME SYNCHRONIZATION","","Synchronize system clocks within and between systems and system components.","","__export__.compliance_control_1470_090c9998","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_338_0d0a7262","SC-46 CROSS DOMAIN POLICY ENFORCEMENT","","Implement a policy enforcement mechanism [Selection: physically; logically] between  the physical and/or network interfaces for the connecting security domains","","__export__.compliance_control_1471_04ab032a","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_339_5a22a204","SC-47 ALTERNATE COMMUNICATIONS PATHS","","Establish [Assignment: organization-defined alternate communications paths] for  system operations organizational command and control.","","__export__.compliance_control_1472_ad94b8e9","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_340_f6f70120","SC-48 SENSOR RELOCATION","","Relocate [Assignment: organization-defined sensors and monitoring capabilities] to  [Assignment: organization-defined locations] under the following conditions or circumstances: [Assignment: organization-defined conditions or circumstances].","","__export__.compliance_control_1473_819f7ad2","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_341_a48e2365","SC-49 HARDWARE-ENFORCED SEPARATION AND POLICY ENFORCEMENT","","Implement hardware-enforced separation and policy enforcement mechanisms  between [Assignment: organization-defined security domains].","","__export__.compliance_control_1474_768f86bc","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_342_27734914","SC-50 SOFTWARE-ENFORCED SEPARATION AND POLICY ENFORCEMENT","","Implement software-enforced separation and policy enforcement mechanisms between  [Assignment: organization-defined security domains].","","__export__.compliance_control_1475_9681afed","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_343_a7644294","SC-51 HARDWARE-BASED PROTECTION","","a. Employ hardware-based, write-protect for [Assignment: organization-defined system  firmware components]; and","","__export__.compliance_control_1476_e54f00ad","__export__.compliance_version_1_9fc7045a"
"","","","b. Implement specific procedures for [Assignment: organization-defined authorized individuals]  to manually disable hardware write-protect for firmware modifications and re-enable the  write-protect prior to returning to operational mode.","","__export__.compliance_control_1477_24763cbd",""
"__export__.compliance_control_objective_344_6cac9adb","SI-1 POLICY AND PROCEDURES","","(SI-1) a. Develop, document, and disseminate to [Assignment: organization-defined personnel or  roles]:","1. [Selection (one or more): Organization-level; Mission/business process-level; Systemlevel] system and information integrity policy that:
(a) Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b) Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2. Procedures to facilitate the implementation of the system and information integrity policy and the associated system and information integrity controls;","__export__.compliance_control_1478_77c9d675","__export__.compliance_version_1_9fc7045a"
"","","","(SI-1) b. Designate an [Assignment: organization-defined official] to manage the development,  documentation, and dissemination of the system and information integrity policy and  procedures; and","","__export__.compliance_control_1479_078bc976",""
"","","","(SI-1) c. Review and update the current system and information integrity:","1. Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2. Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].","__export__.compliance_control_1480_376886a2",""
"__export__.compliance_control_objective_345_77c46d90","SI-2 FLAW REMEDIATION","","a. Identify, report, and correct system flaws;","","__export__.compliance_control_1481_e6bc86e0","__export__.compliance_version_1_9fc7045a"
"","","","b. Test software and firmware updates related to flaw remediation for effectiveness and  potential side effects before installation;","","__export__.compliance_control_1482_d6252d5d",""
"","","","c. Install security-relevant software and firmware updates within [Assignment: organizationdefined time period] of the release of the updates; and","","__export__.compliance_control_1483_a92408bb",""
"","","","d. Incorporate flaw remediation into the organizational configuration management process.","","__export__.compliance_control_1484_96be278b",""
"__export__.compliance_control_objective_346_bb92b415","SI-3 MALICIOUS CODE PROTECTION","","a. Implement [Selection (one or more): signature based; non-signature based] malicious code  protection mechanisms at system entry and exit points to detect and eradicate malicious  code;","","__export__.compliance_control_1485_6ac4c037","__export__.compliance_version_1_9fc7045a"
"","","","b. Automatically update malicious code protection mechanisms as new releases are available in  accordance with organizational configuration management policy and procedures;","","__export__.compliance_control_1486_6aed616d",""
"","","","c. Configure malicious code protection mechanisms to:","1. Perform periodic scans of the system [Assignment: organization-defined frequency] and real-time scans of files from external sources at [Selection (one or more): endpoint; network entry and exit points] as the files are downloaded, opened, or executed in 
accordance with organizational policy; and
2. [Selection (one or more): block malicious code; quarantine malicious code; take [Assignment: organization-defined action]]; and send alert to [Assignment: organizationdefined personnel or roles] in response to malicious code detection; and","__export__.compliance_control_1487_9986c95d",""
"","","","d. Address the receipt of false positives during malicious code detection and eradication and  the resulting potential impact on the availability of the system.","","__export__.compliance_control_1488_922d955e",""
"__export__.compliance_control_objective_347_7a8d5cb6","SI-4 SYSTEM MONITORING","","a. Monitor the system to detect:","1. Attacks and indicators of potential attacks in accordance with the following monitoring objectives: [Assignment: organization-defined monitoring objectives]; and
2. Unauthorized local, network, and remote connections;","__export__.compliance_control_1489_b2166975","__export__.compliance_version_1_9fc7045a"
"","","","b. Identify unauthorized use of the system through the following techniques and methods:  [Assignment: organization-defined techniques and methods];","","__export__.compliance_control_1490_16b30150",""
"","","","c. Invoke internal monitoring capabilities or deploy monitoring devices:","1. Strategically within the system to collect organization-determined essential information; 
and
2. At ad hoc locations within the system to track specific types of transactions of interest to the organization;","__export__.compliance_control_1491_aa0fddda",""
"","","","d. Analyze detected events and anomalies;","","__export__.compliance_control_1492_7c7dc411",""
"","","","e. Adjust the level of system monitoring activity when there is a change in risk to organizational operations and assets, individuals, other organizations, or the Nation;","","__export__.compliance_control_1493_391f5737",""
"","","","f. Obtain legal opinion regarding system monitoring activities; and","","__export__.compliance_control_1494_42a821f9",""
"","","","g. Provide [Assignment: organization-defined system monitoring information] to [Assignment:  organization-defined personnel or roles] [Selection (one or more): as needed; [Assignment:  organization-defined frequency]].","","__export__.compliance_control_1495_7544009e",""
"__export__.compliance_control_objective_348_6922512b","SI-5 SECURITY ALERTS, ADVISORIES, AND DIRECTIVES","","a. Receive system security alerts, advisories, and directives from [Assignment: organizationdefined external organizations] on an ongoing basis","","__export__.compliance_control_1496_54b04d23","__export__.compliance_version_1_9fc7045a"
"","","","b. Generate internal security alerts, advisories, and directives as deemed necessary;","","__export__.compliance_control_1497_d67a6f3d",""
"","","","c. Disseminate security alerts, advisories, and directives to: [Selection (one or more): [Assignment: organization-defined personnel or roles]; [Assignment: organization-defined  elements within the organization]; [Assignment: organization-defined external  organizations]]; and","","__export__.compliance_control_1498_b30e54ba",""
"","","","d. Implement security directives in accordance with established time frames, or notify the  issuing organization of the degree of noncompliance.","","__export__.compliance_control_1499_81846061",""
"__export__.compliance_control_objective_349_b5738a2b","SI-6 SECURITY AND PRIVACY FUNCTION VERIFICATION","","a. Verify the correct operation of [Assignment: organization-defined security and privacy  functions];","","__export__.compliance_control_1500_5e7975fd","__export__.compliance_version_1_9fc7045a"
"","","","b. Perform the verification of the functions specified in SI-6a [Selection (one or more):  [Assignment: organization-defined system transitional states]; upon command by user with  appropriate privilege; [Assignment: organization-defined frequency]];","","__export__.compliance_control_1501_b155f929",""
"","","","c. Alert [Assignment: organization-defined personnel or roles] to failed security and privacy  verification tests; and","","__export__.compliance_control_1502_e225fa34",""
"","","","d. [Selection (one or more): Shut the system down; Restart the system; [Assignment:  organization-defined alternative action(s)]] when anomalies are discovered.","","__export__.compliance_control_1503_56474ff4",""
"__export__.compliance_control_objective_350_7fbe7e5a","SI-7 SOFTWARE, FIRMWARE, AND INFORMATION INTEGRITY","","a. Employ integrity verification tools to detect unauthorized changes to the following software,  firmware, and information: [Assignment: organization-defined software, firmware, and  information]; and","","__export__.compliance_control_1504_dd5d98cc","__export__.compliance_version_1_9fc7045a"
"","","","b. Take the following actions when unauthorized changes to the software, firmware, and  information are detected: [Assignment: organization-defined actions].","","__export__.compliance_control_1505_9dd5ec3d",""
"__export__.compliance_control_objective_351_c6c70719","SI-8 SPAM PROTECTION","","a. Employ spam protection mechanisms at system entry and exit points to detect and act on  unsolicited messages; and","","__export__.compliance_control_1506_7b8a0b18","__export__.compliance_version_1_9fc7045a"
"","","","b. Update spam protection mechanisms when new releases are available in accordance with  organizational configuration management policy and procedures.","","__export__.compliance_control_1507_9c021363",""
"__export__.compliance_control_objective_352_b19ec7a4","SI-9 INFORMATION INPUT RESTRICTIONS","","[Withdrawn: Incorporated into AC-2, AC-3, AC-5, and AC-6.]","","__export__.compliance_control_1508_e662b75c","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_353_a869a02c","SI-10 INFORMATION INPUT VALIDATION","","Check the validity of the following information inputs: [Assignment: organizationdefined information inputs to the system].","","__export__.compliance_control_1509_f8143cbf","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_354_2c35e2e6","SI-11 ERROR HANDLING","","a. Generate error messages that provide information necessary for corrective actions without  revealing information that could be exploited; and","","__export__.compliance_control_1510_7c1852a1","__export__.compliance_version_1_9fc7045a"
"","","","b. Reveal error messages only to [Assignment: organization-defined personnel or roles].","","__export__.compliance_control_1511_549d7167",""
"__export__.compliance_control_objective_355_87705b16","SI-12 INFORMATION MANAGEMENT AND RETENTION","","Manage and retain information within the system and information output from the  system in accordance with applicable laws, executive orders, directives, regulations, policies,  standards, guidelines and operational requirements.","","__export__.compliance_control_1512_26c70d9c","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_356_62c7bb4e","SI-13 PREDICTABLE FAILURE PREVENTION","","a. Determine mean time to failure (MTTF) for the following system components in specific  environments of operation: [Assignment: organization-defined system components]; and","","__export__.compliance_control_1513_55306db5","__export__.compliance_version_1_9fc7045a"
"","","","b. Provide substitute system components and a means to exchange active and standby  components in accordance with the following criteria: [Assignment: organization-defined  MTTF substitution criteria].","","__export__.compliance_control_1514_73692cd1",""
"__export__.compliance_control_objective_357_1964ac4f","SI-14 NON-PERSISTENCE","","Implement non-persistent [Assignment: organization-defined system components and  services] that are initiated in a known state and terminated [Selection (one or more): upon end of  session of use; periodically at [Assignment: organization-defined frequency]].","","__export__.compliance_control_1515_26503f14","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_358_1408ec9d","SI-15 INFORMATION OUTPUT FILTERING","","Validate information output from the following software programs and/or applications to ensure that the information is consistent with the expected content: [Assignment:  organization-defined software programs and/or applications].","","__export__.compliance_control_1516_8d9b7ef9","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_359_4b9d4d1d","SI-16 MEMORY PROTECTION","","Implement the following controls to protect the system memory from unauthorized  code execution: [Assignment: organization-defined controls].","","__export__.compliance_control_1517_f4733c5a","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_360_23035f5e","SI-17 FAIL-SAFE PROCEDURES","","Implement the indicated fail-safe procedures when the indicated failures occur: [Assignment: organization-defined list of failure conditions and associated fail-safe procedures].","","__export__.compliance_control_1518_d7ca01d7","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_361_121dbf9e","SI-18 PERSONALLY IDENTIFIABLE INFORMATION QUALITY OPERATIONS","","a. Check the accuracy, relevance, timeliness, and completeness of personally identifiable  information across the information life cycle [Assignment: organization-defined frequency];  and","","__export__.compliance_control_1519_0445ce38","__export__.compliance_version_1_9fc7045a"
"","","","b. Correct or delete inaccurate or outdated personally identifiable information.","","__export__.compliance_control_1520_bc8db735",""
"__export__.compliance_control_objective_362_8be23371","SI-19 DE-IDENTIFICATION","","a. Remove the following elements of personally identifiable information from datasets:  [Assignment: organization-defined elements of personally identifiable information]; and","","__export__.compliance_control_1521_4e7793ce","__export__.compliance_version_1_9fc7045a"
"","","","b. Evaluate [Assignment: organization-defined frequency] for effectiveness of de-identification.","","__export__.compliance_control_1522_006df38a",""
"__export__.compliance_control_objective_363_2ca0856f","SI-20 TAINTING","","Embed data or capabilities in the following systems or system components to  determine if organizational data has been exfiltrated or improperly removed from the  organization: [Assignment: organization-defined systems or system components].","","__export__.compliance_control_1523_4443d5c7","__export__.compliance_version_1_9fc7045a"
"__export__.compliance_control_objective_364_e470b8c5","SI-21 INFORMATION REFRESH","","Refresh [Assignment: organization-defined information] at [Assignment: organizationdefined frequencies] or generate the information on demand and delete the information when  no longer needed.","","__export__.compliance_control_1524_7fee717a","__export__.compliance_version_1_9fc7045a"
